sample	sample_name	run_name	condition	replicate
GFP_1	GFP_1	GFP_1	GFP	1
GFP_2	GFP_2	GFP_2	GFP	2
P8E2_1	P8E2_1	P8E2_1	P8E2	1
P8E2_2	P8E2_2	P8E2_2	P8E2	2
P8E2_T338I_1	P8E2_T338I_1	P8E2_T338I_1	P8E2_T338I	1
P8E2_T338I_2	P8E2_T338I_2	P8E2_T338I_2	P8E2_T338I	2
P8E2_T338M_1	P8E2_T338M_1	P8E2_T338M_1	P8E2_T338M	1
P8E2_T338M_2	P8E2_T338M_2	P8E2_T338M_2	P8E2_T338M	2
WT_1	WT_1	WT_1	WT	1
WT_2	WT_2	WT_2	WT	2
WT_T338I_1	WT_T338I_1	WT_T338I_1	WT_T338I	1
WT_T338I_2	WT_T338I_2	WT_T338I_2	WT_T338I	2
WT_T338M_1	WT_T338M_1	WT_T338M_1	WT_T338M	1
WT_T338M_2	WT_T338M_2	WT_T338M_2	WT_T338M	2
